brc_bb RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.5300 -5.560e-02  0.064  0.064    1.60  2.0982  6.474  0.110  0.779  0.696  1.000  2.088  2.245  1.850  1.349  0.914  0.594  0.374
  400.0   00  1.5300 -3.330e-02  0.064  0.064    1.60  1.4305  4.414  0.110  0.845  0.638  1.000  1.915  1.876  1.347  0.865  0.505  0.290  0.158
  440.0   00  1.5300 -2.815e-02  0.064  0.064    1.60  1.2140  3.746  0.110  0.861  0.616  1.000  1.850  1.756  1.198  0.734  0.407  0.224  0.116
  500.0   00  1.5300 -2.240e-02  0.064  0.064    1.60  0.9478  2.924  0.110  0.879  0.585  1.000  1.756  1.598  1.011  0.581  0.298  0.156  0.075
  550.0   00  1.5300 -1.890e-02  0.064  0.064    1.60  0.7729  2.385  0.110  0.889  0.560  1.000  1.680  1.483  0.883  0.481  0.233  0.116  0.053
  600.0   00  1.5300 -6.000e-03  0.064  0.064    1.60  0.6100  1.882  0.110  0.960  0.534  1.000  1.602  1.382  0.773  0.403  0.184  0.089  0.038
  675.0   00  1.5298 -7.311e-03  0.064  0.064    1.60  0.4602  1.420  0.110  0.946  0.498  1.000  1.496  1.251  0.643  0.310  0.132  0.059  0.024
  800.0   00  1.5200 -1.000e-02  0.064  0.064    1.60  0.2903  0.896  0.110  0.909  0.442  1.000  1.327  1.082  0.486  0.208  0.078  0.032  0.012
  870.0   00  1.5182 -1.209e-02  0.064  0.064    1.60  0.2328  0.718  0.110  0.880  0.412  1.000  1.238  1.004  0.419  0.167  0.059  0.023  0.008
 1000.0   00  1.5200 -1.550e-02  0.064  0.064    1.60  0.1648  0.509  0.110  0.822  0.362  1.000  1.086  0.887  0.324  0.114  0.036  0.013  0.004
 1020.0   00  1.5192 -1.588e-02  0.064  0.064    1.60  0.1561  0.482  0.110  0.813  0.355  1.000  1.064  0.872  0.312  0.108  0.034  0.012  0.004
55555.6   00  1.9200 -4.000e-01  0.064  0.064    1.60  0.0111  0.034  0.110  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  1.9504 -2.567e-01  0.064  0.064    1.60  0.0105  0.032  0.110  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  2.0592 -2.111e-01  0.064  0.064    1.60  0.0107  0.033  0.110  0.001  0.003  1.000  0.009  0.500  0.001  0.000  0.000  0.000  0.000
15037.6   00  1.4183 -2.162e-01  0.064  0.064    1.60  0.0212  0.065  0.110  0.000  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
13157.9   00  1.6178 -6.092e-02  0.064  0.064    1.60  0.0059  0.018  0.110  0.002  0.004  1.000  0.013  0.500  0.002  0.000  0.000  0.000  0.000
11111.1   00  1.7079 -4.714e-02  0.064  0.064    1.60  0.0051  0.016  0.110  0.005  0.006  1.000  0.019  0.500  0.003  0.000  0.000  0.000  0.000
 9708.7   00  1.8911 -9.467e-02  0.064  0.064    1.60  0.0103  0.032  0.110  0.005  0.009  1.000  0.027  0.500  0.004  0.000  0.000  0.000  0.000
 8849.6   00  2.7038 -3.254e-01  0.064  0.064    1.60  0.0177  0.055  0.110  0.009  0.016  1.000  0.050  0.501  0.005  0.000  0.000  0.000  0.000
 7782.1   00  1.2547 -6.366e-02  0.064  0.064    1.60  0.0139  0.043  0.110  0.001  0.011  1.000  0.030  0.500  0.006  0.000  0.000  0.000  0.000
 6968.6   00  1.4342 -6.037e-02  0.064  0.064    1.60  0.0126  0.039  0.110  0.007  0.014  1.000  0.041  0.501  0.008  0.000  0.000  0.000  0.000
 6097.6   00  1.4177 -2.496e-02  0.064  0.064    1.60  0.0061  0.019  0.110  0.017  0.017  1.000  0.053  0.501  0.011  0.000  0.000  0.000  0.000
 5154.6   00  1.4492 -1.321e-02  0.064  0.064    1.60  0.0040  0.012  0.110  0.064  0.025  1.000  0.075  0.503  0.014  0.000  0.000  0.000  0.000
 4618.9   00  1.4579 -1.330e-02  0.064  0.064    1.60  0.0046  0.014  0.110  0.076  0.031  1.000  0.093  0.504  0.018  0.001  0.000  0.000  0.000
 4319.7   00  1.4606 -1.051e-02  0.064  0.064    1.60  0.0040  0.012  0.110  0.142  0.036  1.000  0.106  0.504  0.021  0.001  0.000  0.000  0.000
 4016.1   00  1.4555 -5.172e-03  0.064  0.064    1.60  0.0025  0.008  0.110  0.260  0.041  1.000  0.122  0.506  0.024  0.001  0.000  0.000  0.000
