soot_anth RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.9389 -8.250e-01  0.030  0.030    1.60  2.0563 16.441  0.052  0.358  0.391  1.000  1.172  0.958  0.489  0.235  0.098  0.042  0.018
  400.0   00  1.9500 -8.080e-01  0.030  0.030    1.60  1.5544 12.428  0.052  0.305  0.313  1.000  0.939  0.763  0.292  0.111  0.036  0.013  0.004
  440.0   00  1.9503 -8.013e-01  0.030  0.030    1.60  1.3858 11.079  0.052  0.284  0.289  1.000  0.868  0.717  0.247  0.085  0.025  0.009  0.002
  500.0   00  1.9500 -7.900e-01  0.030  0.030    1.60  1.1694  9.350  0.052  0.254  0.260  1.000  0.779  0.668  0.198  0.060  0.016  0.005  0.001
  550.0   00  1.9500 -7.900e-01  0.030  0.030    1.60  1.0278  8.217  0.052  0.231  0.237  1.000  0.712  0.637  0.168  0.046  0.011  0.003  0.001
  600.0   00  1.9500 -7.640e-01  0.030  0.030    1.60  0.8890  7.108  0.052  0.211  0.221  1.000  0.664  0.617  0.146  0.036  0.008  0.002  0.001
  675.0   00  1.9500 -7.602e-01  0.030  0.030    1.60  0.7462  5.965  0.052  0.181  0.196  1.000  0.589  0.590  0.120  0.026  0.005  0.001  0.000
  800.0   00  1.9500 -7.550e-01  0.030  0.030    1.60  0.5770  4.613  0.052  0.140  0.163  1.000  0.490  0.562  0.090  0.015  0.003  0.000  0.000
  870.0   00  1.9490 -7.606e-01  0.030  0.030    1.60  0.5129  4.101  0.052  0.121  0.147  1.000  0.442  0.550  0.078  0.012  0.002  0.000  0.000
 1000.0   00  1.9612 -7.720e-01  0.030  0.030    1.60  0.4226  3.379  0.052  0.094  0.123  1.000  0.370  0.535  0.062  0.008  0.001  0.000  0.000
 1020.0   00  1.9629 -7.734e-01  0.030  0.030    1.60  0.4111  3.287  0.052  0.090  0.120  1.000  0.361  0.533  0.060  0.007  0.001  0.000  0.000
55555.6   00  2.9306 -1.700e+00  0.030  0.030    1.60  0.0071  0.056  0.052  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  2.7796 -1.543e+00  0.030  0.030    1.60  0.0112  0.090  0.052  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   00  2.6664 -1.446e+00  0.030  0.030    1.60  0.0158  0.126  0.052  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   00  2.5964 -1.390e+00  0.030  0.030    1.60  0.0191  0.154  0.052  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
13157.9   00  2.5447 -1.334e+00  0.030  0.030    1.60  0.0224  0.180  0.052  0.000  0.001  1.000  0.004  0.500  0.000  0.000  0.000  0.000  0.000
11111.1   00  2.4876 -1.283e+00  0.030  0.030    1.60  0.0271  0.216  0.052  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
 9708.7   00  2.4473 -1.259e+00  0.030  0.030    1.60  0.0317  0.253  0.052  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6   00  2.4122 -1.220e+00  0.030  0.030    1.60  0.0352  0.281  0.052  0.000  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
 7782.1   00  2.3542 -1.176e+00  0.030  0.030    1.60  0.0410  0.327  0.052  0.000  0.003  1.000  0.010  0.500  0.001  0.000  0.000  0.000  0.000
 6968.6   00  2.2833 -1.128e+00  0.030  0.030    1.60  0.0473  0.378  0.052  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
 6097.6   00  2.2567 -1.095e+00  0.030  0.030    1.60  0.0543  0.434  0.052  0.001  0.005  1.000  0.015  0.500  0.002  0.000  0.000  0.000  0.000
 5154.6   00  2.2028 -1.055e+00  0.030  0.030    1.60  0.0660  0.528  0.052  0.001  0.007  1.000  0.022  0.500  0.003  0.000  0.000  0.000  0.000
 4618.9   00  2.1688 -1.042e+00  0.030  0.030    1.60  0.0751  0.600  0.052  0.002  0.009  1.000  0.026  0.500  0.004  0.000  0.000  0.000  0.000
 4319.7   00  2.1544 -1.036e+00  0.030  0.030    1.60  0.0810  0.648  0.052  0.003  0.009  1.000  0.029  0.500  0.004  0.000  0.000  0.000  0.000
 4016.1   00  2.1406 -1.021e+00  0.030  0.030    1.60  0.0876  0.701  0.052  0.003  0.011  1.000  0.034  0.500  0.005  0.000  0.000  0.000  0.000
 3418.8   00  2.0863 -9.697e-01  0.030  0.030    1.60  0.1047  0.837  0.052  0.004  0.016  1.000  0.046  0.501  0.007  0.000  0.000  0.000  0.000
 3444.7   00  2.0889 -9.742e-01  0.030  0.030    1.60  0.1040  0.831  0.052  0.004  0.015  1.000  0.045  0.501  0.007  0.000  0.000  0.000  0.000
 2777.0   00  2.0355 -9.307e-01  0.030  0.030    1.60  0.1322  1.056  0.052  0.007  0.023  1.000  0.068  0.501  0.011  0.000  0.000  0.000  0.000
 2320.2   00  2.0207 -8.781e-01  0.030  0.030    1.60  0.1561  1.248  0.052  0.011  0.032  1.000  0.097  0.503  0.015  0.000  0.000  0.000  0.000
 2044.2   00  2.0075 -8.620e-01  0.030  0.030    1.60  0.1794  1.434  0.052  0.016  0.040  1.000  0.121  0.505  0.018  0.001  0.000  0.000  0.000
 1778.4   00  1.9964 -8.461e-01  0.030  0.030    1.60  0.2097  1.676  0.052  0.024  0.052  1.000  0.154  0.507  0.023  0.001  0.000  0.000  0.000
 1455.2   00  1.9687 -8.034e-01  0.030  0.030    1.60  0.2623  2.097  0.052  0.040  0.071  1.000  0.214  0.513  0.034  0.002  0.000  0.000  0.000
 1270.3   00  1.9611 -7.912e-01  0.030  0.030    1.60  0.3104  2.481  0.052  0.055  0.088  1.000  0.264  0.519  0.042  0.004  0.000  0.000  0.000
  944.3   00  1.9544 -7.680e-01  0.030  0.030    1.60  0.4581  3.663  0.052  0.105  0.133  1.000  0.398  0.541  0.068  0.010  0.001  0.000  0.000
  693.5   00  1.9500 -7.561e-01  0.030  0.030    1.60  0.7141  5.709  0.052  0.174  0.191  1.000  0.573  0.586  0.115  0.024  0.004  0.001  0.000
  527.1   00  1.9500 -7.921e-01  0.030  0.030    1.60  1.0910  8.723  0.052  0.241  0.247  1.000  0.741  0.650  0.180  0.052  0.013  0.004  0.001
  399.8   00  1.9500 -8.080e-01  0.030  0.030    1.60  1.5555 12.437  0.052  0.305  0.313  1.000  0.939  0.763  0.292  0.111  0.036  0.013  0.004
  329.1   00  1.9570 -8.233e-01  0.030  0.030    1.60  1.9072 15.248  0.052  0.344  0.363  1.000  1.087  0.876  0.406  0.180  0.068  0.027  0.010
  229.8   00  1.7850 -7.845e-01  0.030  0.030    1.60  2.2427 17.930  0.052  0.367  0.465  1.000  1.397  1.214  0.743  0.410  0.201  0.099  0.048
 7082.2   00  2.2881 -1.133e+00  0.030  0.030    1.60  0.0466  0.372  0.052  0.001  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
  300.0   50  1.9389 -8.250e-01  0.030  0.030    1.60  2.0563 16.441  0.052  0.358  0.391  1.000  1.172  0.958  0.489  0.235  0.098  0.042  0.018
  400.0   50  1.9500 -8.080e-01  0.030  0.030    1.60  1.5544 12.428  0.052  0.305  0.313  1.000  0.939  0.763  0.292  0.111  0.036  0.013  0.004
  440.0   50  1.9503 -8.013e-01  0.030  0.030    1.60  1.3858 11.079  0.052  0.284  0.289  1.000  0.868  0.717  0.247  0.085  0.025  0.009  0.002
  500.0   50  1.9500 -7.900e-01  0.030  0.030    1.60  1.1694  9.350  0.052  0.254  0.260  1.000  0.779  0.668  0.198  0.060  0.016  0.005  0.001
  550.0   50  1.9500 -7.900e-01  0.030  0.030    1.60  1.0278  8.217  0.052  0.231  0.237  1.000  0.712  0.637  0.168  0.046  0.011  0.003  0.001
  600.0   50  1.9500 -7.640e-01  0.030  0.030    1.60  0.8890  7.108  0.052  0.211  0.221  1.000  0.664  0.617  0.146  0.036  0.008  0.002  0.001
  675.0   50  1.9500 -7.602e-01  0.030  0.030    1.60  0.7462  5.965  0.052  0.181  0.196  1.000  0.589  0.590  0.120  0.026  0.005  0.001  0.000
  800.0   50  1.9500 -7.550e-01  0.030  0.030    1.60  0.5770  4.613  0.052  0.140  0.163  1.000  0.490  0.562  0.090  0.015  0.003  0.000  0.000
  870.0   50  1.9490 -7.606e-01  0.030  0.030    1.60  0.5129  4.101  0.052  0.121  0.147  1.000  0.442  0.550  0.078  0.012  0.002  0.000  0.000
 1000.0   50  1.9612 -7.720e-01  0.030  0.030    1.60  0.4226  3.379  0.052  0.094  0.123  1.000  0.370  0.535  0.062  0.008  0.001  0.000  0.000
 1020.0   50  1.9629 -7.734e-01  0.030  0.030    1.60  0.4111  3.287  0.052  0.090  0.120  1.000  0.361  0.533  0.060  0.007  0.001  0.000  0.000
55555.6   50  2.9306 -1.700e+00  0.030  0.030    1.60  0.0071  0.056  0.052  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   50  2.7796 -1.543e+00  0.030  0.030    1.60  0.0112  0.090  0.052  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   50  2.6664 -1.446e+00  0.030  0.030    1.60  0.0158  0.126  0.052  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   50  2.5964 -1.390e+00  0.030  0.030    1.60  0.0191  0.154  0.052  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
