soot_bb RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.9389 -8.250e-01  0.070  0.070    1.40  2.8422 12.748  0.093  0.445  0.581  1.000  1.742  1.645  1.193  0.737  0.382  0.186  0.082
  400.0   00  1.9500 -8.080e-01  0.070  0.070    1.40  2.6536 11.902  0.093  0.415  0.470  1.000  1.411  1.125  0.640  0.310  0.116  0.042  0.014
  440.0   00  1.9503 -8.013e-01  0.070  0.070    1.40  2.5331 11.361  0.093  0.401  0.433  1.000  1.300  0.996  0.514  0.226  0.075  0.024  0.007
  500.0   00  1.9500 -7.900e-01  0.070  0.070    1.40  2.3254 10.430  0.093  0.379  0.385  1.000  1.155  0.860  0.381  0.145  0.041  0.011  0.003
  550.0   00  1.9500 -7.900e-01  0.070  0.070    1.40  2.1500  9.643  0.093  0.360  0.349  1.000  1.048  0.779  0.304  0.103  0.026  0.006  0.001
  600.0   00  1.9500 -7.640e-01  0.070  0.070    1.40  1.9495  8.744  0.093  0.342  0.322  1.000  0.966  0.724  0.250  0.075  0.016  0.004  0.001
  675.0   00  1.9500 -7.602e-01  0.070  0.070    1.40  1.6978  7.615  0.093  0.312  0.282  1.000  0.848  0.662  0.191  0.048  0.009  0.001  0.000
  800.0   00  1.9500 -7.550e-01  0.070  0.070    1.40  1.3440  6.028  0.093  0.265  0.230  1.000  0.691  0.601  0.133  0.025  0.004  0.001  0.000
  870.0   00  1.9490 -7.606e-01  0.070  0.070    1.40  1.1916  5.345  0.093  0.240  0.205  1.000  0.618  0.579  0.112  0.018  0.003  0.000  0.000
 1000.0   00  1.9612 -7.720e-01  0.070  0.070    1.40  0.9689  4.345  0.093  0.200  0.169  1.000  0.508  0.553  0.085  0.011  0.001  0.000  0.000
 1020.0   00  1.9629 -7.734e-01  0.070  0.070    1.40  0.9400  4.215  0.093  0.194  0.164  1.000  0.494  0.550  0.082  0.010  0.001  0.000  0.000
55555.6   00  2.9306 -1.700e+00  0.070  0.070    1.40  0.0126  0.057  0.093  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  2.7796 -1.543e+00  0.070  0.070    1.40  0.0200  0.090  0.093  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   00  2.6664 -1.446e+00  0.070  0.070    1.40  0.0282  0.127  0.093  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   00  2.5964 -1.390e+00  0.070  0.070    1.40  0.0343  0.154  0.093  0.000  0.001  1.000  0.004  0.500  0.000  0.000  0.000  0.000  0.000
13157.9   00  2.5447 -1.334e+00  0.070  0.070    1.40  0.0401  0.179  0.093  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
11111.1   00  2.4876 -1.283e+00  0.070  0.070    1.40  0.0485  0.217  0.093  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
 9708.7   00  2.4473 -1.259e+00  0.070  0.070    1.40  0.0568  0.254  0.093  0.001  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6   00  2.4122 -1.220e+00  0.070  0.070    1.40  0.0631  0.283  0.093  0.001  0.003  1.000  0.009  0.500  0.001  0.000  0.000  0.000  0.000
 7782.1   00  2.3542 -1.176e+00  0.070  0.070    1.40  0.0736  0.330  0.093  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
 6968.6   00  2.2833 -1.128e+00  0.070  0.070    1.40  0.0852  0.382  0.093  0.002  0.005  1.000  0.015  0.500  0.002  0.000  0.000  0.000  0.000
 6097.6   00  2.2567 -1.095e+00  0.070  0.070    1.40  0.0981  0.440  0.093  0.002  0.006  1.000  0.018  0.500  0.003  0.000  0.000  0.000  0.000
 5154.6   00  2.2028 -1.055e+00  0.070  0.070    1.40  0.1198  0.537  0.093  0.004  0.009  1.000  0.026  0.500  0.004  0.000  0.000  0.000  0.000
 4618.9   00  2.1688 -1.042e+00  0.070  0.070    1.40  0.1368  0.613  0.093  0.005  0.010  1.000  0.031  0.500  0.005  0.000  0.000  0.000  0.000
 4319.7   00  2.1544 -1.036e+00  0.070  0.070    1.40  0.1479  0.664  0.093  0.007  0.012  1.000  0.036  0.500  0.005  0.000  0.000  0.000  0.000
 4016.1   00  2.1406 -1.021e+00  0.070  0.070    1.40  0.1607  0.721  0.093  0.008  0.014  1.000  0.042  0.500  0.006  0.000  0.000  0.000  0.000
 3418.8   00  2.0863 -9.697e-01  0.070  0.070    1.40  0.1937  0.869  0.093  0.012  0.019  1.000  0.056  0.501  0.009  0.000  0.000  0.000  0.000
 3444.7   00  2.0889 -9.742e-01  0.070  0.070    1.40  0.1923  0.863  0.093  0.011  0.018  1.000  0.055  0.501  0.008  0.000  0.000  0.000  0.000
 2777.0   00  2.0355 -9.307e-01  0.070  0.070    1.40  0.2487  1.115  0.093  0.020  0.028  1.000  0.082  0.501  0.012  0.000  0.000  0.000  0.000
 2320.2   00  2.0207 -8.781e-01  0.070  0.070    1.40  0.3001  1.346  0.093  0.033  0.039  1.000  0.118  0.503  0.018  0.000  0.000  0.000  0.000
 2044.2   00  2.0075 -8.620e-01  0.070  0.070    1.40  0.3517  1.577  0.093  0.046  0.050  1.000  0.151  0.504  0.023  0.001  0.000  0.000  0.000
 1778.4   00  1.9964 -8.461e-01  0.070  0.070    1.40  0.4223  1.893  0.093  0.064  0.065  1.000  0.195  0.508  0.029  0.001  0.000  0.000  0.000
 1455.2   00  1.9687 -8.034e-01  0.070  0.070    1.40  0.5510  2.472  0.093  0.100  0.093  1.000  0.278  0.517  0.042  0.002  0.000  0.000  0.000
 1270.3   00  1.9611 -7.912e-01  0.070  0.070    1.40  0.6738  3.022  0.093  0.132  0.117  1.000  0.350  0.526  0.054  0.004  0.000  0.000  0.000
  944.3   00  1.9544 -7.680e-01  0.070  0.070    1.40  1.0568  4.740  0.093  0.216  0.183  1.000  0.551  0.563  0.095  0.013  0.001  0.000  0.000
  693.5   00  1.9500 -7.561e-01  0.070  0.070    1.40  1.6365  7.340  0.093  0.305  0.274  1.000  0.823  0.651  0.181  0.044  0.007  0.001  0.000
  527.1   00  1.9500 -7.921e-01  0.070  0.070    1.40  2.2328 10.014  0.093  0.369  0.364  1.000  1.094  0.812  0.336  0.120  0.032  0.008  0.002
  399.8   00  1.9500 -8.080e-01  0.070  0.070    1.40  2.6542 11.905  0.093  0.415  0.470  1.000  1.412  1.126  0.641  0.311  0.116  0.042  0.014
  329.1   00  1.9570 -8.233e-01  0.070  0.070    1.40  2.8156 12.628  0.093  0.438  0.544  1.000  1.632  1.446  0.972  0.553  0.256  0.111  0.042
  229.8   00  1.7850 -7.845e-01  0.070  0.070    1.40  2.7822 12.478  0.093  0.446  0.665  1.000  1.995  2.158  1.795  1.276  0.794  0.455  0.240
 7082.2   00  2.2881 -1.133e+00  0.070  0.070    1.40  0.0838  0.376  0.093  0.002  0.005  1.000  0.014  0.500  0.002  0.000  0.000  0.000  0.000
  300.0   50  1.9389 -8.250e-01  0.070  0.070    1.40  2.8422 12.748  0.093  0.445  0.581  1.000  1.742  1.645  1.193  0.737  0.382  0.186  0.082
  400.0   50  1.9500 -8.080e-01  0.070  0.070    1.40  2.6536 11.902  0.093  0.415  0.470  1.000  1.411  1.125  0.640  0.310  0.116  0.042  0.014
  440.0   50  1.9503 -8.013e-01  0.070  0.070    1.40  2.5331 11.361  0.093  0.401  0.433  1.000  1.300  0.996  0.514  0.226  0.075  0.024  0.007
  500.0   50  1.9500 -7.900e-01  0.070  0.070    1.40  2.3254 10.430  0.093  0.379  0.385  1.000  1.155  0.860  0.381  0.145  0.041  0.011  0.003
