org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.5300 -8.000e-03  0.058  0.058    1.60  1.8820 10.776  0.101  0.960  0.659  1.000  1.978  2.082  1.614  1.134  0.722  0.452  0.265
  400.0   00  1.5300 -5.000e-03  0.058  0.058    1.60  1.1818  6.767  0.101  0.972  0.610  1.000  1.830  1.750  1.186  0.733  0.403  0.224  0.114
  440.0   00  1.5300 -5.000e-03  0.058  0.058    1.60  0.9864  5.648  0.101  0.971  0.589  1.000  1.768  1.638  1.055  0.622  0.325  0.174  0.084
  500.0   00  1.5300 -5.000e-03  0.058  0.058    1.60  0.7478  4.282  0.101  0.969  0.558  1.000  1.675  1.486  0.883  0.485  0.234  0.118  0.053
  550.0   00  1.5300 -6.000e-03  0.058  0.058    1.60  0.6026  3.451  0.101  0.959  0.532  1.000  1.597  1.376  0.767  0.398  0.181  0.087  0.037
  600.0   00  1.5300 -6.000e-03  0.058  0.058    1.60  0.4879  2.793  0.101  0.956  0.506  1.000  1.519  1.279  0.670  0.329  0.141  0.065  0.027
  675.0   00  1.5300 -7.000e-03  0.058  0.058    1.60  0.3647  2.088  0.101  0.942  0.469  1.000  1.407  1.156  0.553  0.251  0.100  0.043  0.016
  800.0   00  1.5200 -1.000e-02  0.058  0.058    1.60  0.2257  1.292  0.101  0.898  0.410  1.000  1.229  0.997  0.412  0.163  0.057  0.022  0.008
  870.0   00  1.5200 -1.210e-02  0.058  0.058    1.60  0.1845  1.056  0.101  0.864  0.380  1.000  1.139  0.928  0.356  0.132  0.044  0.016  0.005
 1000.0   00  1.5200 -1.550e-02  0.058  0.058    1.60  0.1273  0.729  0.101  0.797  0.329  1.000  0.986  0.821  0.272  0.087  0.025  0.008  0.003
 1020.0   00  1.5192 -1.578e-02  0.058  0.058    1.60  0.1227  0.703  0.101  0.787  0.323  1.000  0.967  0.811  0.264  0.084  0.024  0.008  0.003
55555.6   00  1.9200 -4.000e-01  0.058  0.058    1.60  0.0101  0.058  0.101  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000 -0.000
23529.4   00  1.9506 -2.565e-01  0.058  0.058    1.60  0.0096  0.054  0.101  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  2.0176 -2.033e-01  0.058  0.058    1.60  0.0095  0.054  0.101  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
15037.6   00  1.4289 -1.989e-01  0.058  0.058    1.60  0.0177  0.101  0.101  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
13157.9   00  1.6105 -5.784e-02  0.058  0.058    1.60  0.0051  0.029  0.101  0.001  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
