,Tracers,Information,Is_Fixed,Het_Only_Species
0,//{PRESCRIBED CONCS FROM HEMCO},,True,False
1,//Br,,True,False
2,//Cl,,True,False
3,//OH,,True,False
4,//NO2,,True,False
5,//NO,,True,False
6,//O3,,True,False
7,//HO2,,True,False
8,//BrO,,True,False
9,//ClO,,True,False
10,//CO,,True,False
11,//CH4,,True,False
12,//Br,,True,False
13,//BrO,,True,False
14,//CH4,,True,False
15,//CO,,True,False
16,//Cl,,True,False
17,//ClO,,True,False
18,//HO2,,True,False
19,//NO,,True,False
20,//NO2,,True,False
21,//O3,,True,False
22,//OH,,True,False
23,//{PRESCRIBED CONCS FROM HEMCO},,True,False
24,Br,,False,True
25,BrO,,False,True
26,CH4,,False,True
27,CO,,False,True
28,Cl,,False,True
29,ClO,,False,True
30,HO2,,False,True
31,Hg0,,False,True
32,Hg2ClP,,False,False
33,Hg2ORGP,,False,True
34,HgBr,,False,True
35,HgBr2,,False,True
36,HgBrBrO,,False,True
37,HgBrClO,,False,True
38,HgBrHO2,,False,True
39,HgBrNO2,,False,True
40,HgBrO,,False,True
41,HgBrOH,,False,True
42,HgCl,,False,True
43,HgCl2,,False,True
44,HgClBr,,False,True
45,HgClBrO,,False,True
46,HgClClO,,False,True
47,HgClHO2,,False,True
48,HgClNO2,,False,True
49,HgClO,,False,True
50,HgClOH,,False,True
51,HgOH,,False,True
52,HgOHBrO,,False,True
53,HgOHClO,,False,True
54,HgOHHO2,,False,True
55,HgOHNO2,,False,True
56,HgOHO,,False,True
57,HgOHOH,,False,True
58,NO,,False,True
59,NO2,,False,True
60,O3,,False,True
61,OH,,False,True
